"","Received.Year","Received.Month","Report.Date","County.Name","Animal.Classification","Number.of.Samples","Positive.Samples","Latitude.Center.Point","Longitude.Center.Point","Geocode"
"19",2024,1,NA,"Monroe","Dog",1,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"20",2024,6,NA,"Essex","Rodents",1,0,44.21634,-73.59043,"POINT (-73.59043 44.21634)"
"21",2018,11,NA,"Jefferson","Skunk",3,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"22",2011,3,NA,"Chemung","Skunk",1,0,42.08982,-76.80826,"POINT (-76.80826 42.08982)"
"23",2016,3,NA,"Clinton","Raccoon",1,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"24",2012,7,NA,"Suffolk","Cat",2,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"25",2011,5,NA,"Tompkins","Bat",4,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"26",2012,6,NA,"Schuyler","Dog",2,0,42.39501,-76.87556,"POINT (-76.87556 42.39501)"
"27",2016,6,NA,"Wyoming","Raccoon",4,0,42.74022,-78.13259,"POINT (-78.13259 42.74022)"
"28",2021,8,NA,"Columbia","Cattle",1,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"29",2021,6,NA,"Monroe","Bat",14,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"30",2020,8,NA,"Westchester","Skunk",2,1,41.122,-73.7949,"POINT (-73.7949 41.122)"
"31",2008,9,NA,"Wayne","Bat",2,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"32",2008,5,NA,"Niagara","Dog",2,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"33",2021,7,NA,"Oswego","Bat",6,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"34",2008,7,NA,"Broome","Cat",2,0,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"35",2014,8,NA,"Columbia","Skunk",1,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"36",2014,3,NA,"Erie","Cat",11,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"37",2007,7,NA,"Erie","Wild Other",5,1,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"38",2016,10,NA,"Oneida","Cat",3,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"39",2008,1,NA,"Suffolk","Raccoon",7,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"40",2019,5,NA,"Monroe","Wild Other",3,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"41",2018,6,NA,"Ulster","Cat",2,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"42",2011,10,NA,"Rensselaer","Wild Other",1,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"43",2017,11,NA,"Ulster","Dog",1,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"44",2013,6,NA,"Allegany","Bat",2,0,42.34332,-78.11192,"POINT (-78.11192 42.34332)"
"45",2015,6,NA,"Onondaga","Bat",20,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"46",2023,5,NA,"Chautauqua","Raccoon",1,0,42.25171,-79.50169,"POINT (-79.50169 42.25171)"
"47",2020,4,NA,"Rockland","Raccoon",1,1,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"48",2011,9,NA,"Otsego","Domestic Other",1,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"49",2022,12,NA,"Suffolk","Dog",1,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"50",2017,7,NA,"Schenectady","Bat",4,0,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"51",2019,12,NA,"Erie","Domestic Other",1,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"52",2021,8,NA,"Montgomery","Domestic Other",1,0,42.95571,-74.37199,"POINT (-74.37199 42.95571)"
"53",2014,3,NA,"Essex","Cattle",1,0,44.21634,-73.59043,"POINT (-73.59043 44.21634)"
"54",2023,10,NA,"Onondaga","Wild Other",1,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"55",2011,7,NA,"Rensselaer","Rodents",1,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"56",2012,2,NA,"Erie","Skunk",1,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"57",2023,8,NA,"Monroe","Cat",3,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"58",2016,6,NA,"Oneida","Cat",1,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"59",2013,6,NA,"Chemung","Wild Other",2,0,42.08982,-76.80826,"POINT (-76.80826 42.08982)"
"60",2021,8,NA,"Sullivan","Raccoon",1,0,41.65454,-74.68491,"POINT (-74.68491 41.65454)"
"61",2021,7,NA,"Schoharie","Raccoon",1,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"62",2010,10,NA,"Dutchess","Cat",2,1,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"63",2023,12,NA,"Oneida","Wild Other",1,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"64",2019,5,NA,"Saratoga","Dog",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"65",2023,1,NA,"Lewis","Cat",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"66",2020,8,NA,"Orange","Dog",2,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"67",2015,11,NA,"Oswego","Fox",1,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"68",2016,11,NA,"Otsego","Cat",1,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"69",2014,8,NA,"Wayne","Cat",2,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"70",2012,3,NA,"Oneida","Bat",2,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"71",2019,5,NA,"Tompkins","Cat",1,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"72",2019,9,NA,"Rockland","Rodents",1,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"73",2009,8,NA,"Oneida","Cat",6,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"74",2023,3,NA,"Suffolk","Wild Other",2,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"75",2013,6,NA,"Rockland","Bat",4,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"76",2017,10,NA,"Rockland","Raccoon",1,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"77",2016,6,NA,"Rockland","Bat",11,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"78",2009,7,NA,"Jefferson","Cat",1,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"79",2012,5,NA,"Erie","Fox",3,1,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"80",2011,10,NA,"Franklin","Raccoon",1,0,44.84888,-74.29136,"POINT (-74.29136 44.84888)"
"81",2021,5,NA,"Ulster","Rodents",1,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"82",2011,2,NA,"Rensselaer","Fox",1,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"83",2009,7,NA,"Onondaga","Bat",10,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"84",2017,9,NA,"Washington","Cat",4,0,43.26707,-73.58484,"POINT (-73.58484 43.26707)"
"85",2010,7,NA,"Schuyler","Bat",1,0,42.39501,-76.87556,"POINT (-76.87556 42.39501)"
"86",2022,7,NA,"Wayne","Cat",1,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"87",2010,1,NA,"Tompkins","Bat",1,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"88",2018,11,NA,"Wyoming","Wild Other",2,0,42.74022,-78.13259,"POINT (-78.13259 42.74022)"
"89",2022,5,NA,"Otsego","Dog",2,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"90",2016,7,NA,"Wayne","Bat",2,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"91",2014,3,NA,"Schenectady","Bat",2,0,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"92",2023,8,NA,"Cattaraugus","Bat",18,1,42.24942,-78.79884,"POINT (-78.79884 42.24942)"
"93",2011,6,NA,"Saratoga","Dog",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"94",2019,12,NA,"Steuben","Domestic Other",1,0,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"95",2011,1,NA,"Fulton","Bat",1,0,43.0069,-74.37424,"POINT (-74.37424 43.0069)"
"96",2009,8,NA,"Washington","Skunk",2,2,43.26707,-73.58484,"POINT (-73.58484 43.26707)"
"97",2012,5,NA,"Nassau","Dog",5,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"98",2011,2,NA,"Albany","Cat",5,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"99",2016,4,NA,"Albany","Raccoon",3,2,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"100",2009,9,NA,"Oneida","Raccoon",1,1,43.10205,-75.23,"POINT (-75.23 43.10205)"
"101",2023,9,NA,"Orleans","Bat",1,0,43.24625,-78.19376,"POINT (-78.19376 43.24625)"
"102",2014,7,NA,"Wyoming","Raccoon",1,1,42.74022,-78.13259,"POINT (-78.13259 42.74022)"
"103",2009,3,NA,"Lewis","Bat",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"104",2014,11,NA,"Wayne","Cat",1,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"105",2010,7,NA,"Putnam","Wild Other",1,0,41.42733,-73.74847,"POINT (-73.74847 41.42733)"
"106",2010,9,NA,"Ontario","Fox",1,0,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"107",2022,5,NA,"Saratoga","Domestic Other",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"108",2008,3,NA,"Cayuga","Fox",2,0,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"109",2023,4,NA,"Orange","Wild Other",1,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"110",2013,8,NA,"Saratoga","Raccoon",1,1,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"111",2014,5,NA,"Nassau","Rodents",1,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"112",2019,10,NA,"Schoharie","Wild Other",2,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"113",2016,9,NA,"Saratoga","Bat",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"114",2019,8,NA,"Wyoming","Raccoon",1,1,42.74022,-78.13259,"POINT (-78.13259 42.74022)"
"115",2024,2,NA,"Rockland","Bat",1,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"116",2020,8,NA,"Westchester","Raccoon",2,1,41.122,-73.7949,"POINT (-73.7949 41.122)"
"117",2011,6,NA,"Niagara","Bat",3,2,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"118",2012,7,NA,"Erie","Bat",98,3,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"119",2016,3,NA,"Oneida","Skunk",1,1,43.10205,-75.23,"POINT (-75.23 43.10205)"
"120",2015,2,NA,"Chenango","Wild Other",1,0,42.53122,-75.52378,"POINT (-75.52378 42.53122)"
"121",2016,2,NA,"Albany","Dog",2,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"122",2016,7,NA,"Broome","Skunk",1,1,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"123",2012,3,NA,"Albany","Skunk",1,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"124",2010,3,NA,"Saratoga","Rodents",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"125",2019,10,NA,"Oswego","Bat",1,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"126",2011,11,NA,"Saratoga","Cat",5,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"127",2015,4,NA,"Chemung","Bat",2,1,42.08982,-76.80826,"POINT (-76.80826 42.08982)"
"128",2022,2,NA,"Broome","Rodents",1,0,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"129",2015,7,NA,"Oswego","Bat",24,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"130",2020,6,NA,"Schoharie","Cat",1,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"131",2015,6,NA,"Yates","Cat",2,0,42.66095,-77.05365,"POINT (-77.05365 42.66095)"
"132",2017,10,NA,"Onondaga","Cat",3,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"133",2011,10,NA,"Oneida","Cattle",1,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"134",2022,3,NA,"Fulton","Cat",2,0,43.0069,-74.37424,"POINT (-74.37424 43.0069)"
"135",2010,2,NA,"Orange","Dog",4,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"136",2008,1,NA,"Schenectady","Dog",1,0,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"137",2011,8,NA,"Chemung","Cat",3,0,42.08982,-76.80826,"POINT (-76.80826 42.08982)"
"138",2014,1,NA,"Oneida","Cat",1,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"139",2022,6,NA,"Herkimer","Fox",1,0,43.02599,-74.98441,"POINT (-74.98441 43.02599)"
"140",2010,10,NA,"Ulster","Dog",1,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"141",2011,4,NA,"Albany","Rodents",1,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"142",2023,7,NA,"Monroe","Rodents",1,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"143",2015,7,NA,"Orleans","Bat",4,0,43.24625,-78.19376,"POINT (-78.19376 43.24625)"
"144",2021,8,NA,"Jefferson","Skunk",4,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"145",2011,4,NA,"Wayne","Cat",1,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"146",2018,8,NA,"Yates","Bat",4,0,42.66095,-77.05365,"POINT (-77.05365 42.66095)"
"147",2023,10,NA,"Oswego","Rodents",1,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"148",2016,11,NA,"Tompkins","Raccoon",1,1,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"149",2019,1,NA,"Tioga","Cat",1,0,42.17028,-76.30633,"POINT (-76.30633 42.17028)"
"150",2008,8,NA,"Chemung","Cat",3,0,42.08982,-76.80826,"POINT (-76.80826 42.08982)"
"151",2017,8,NA,"Cortland","Dog",1,0,42.60121,-76.18048,"POINT (-76.18048 42.60121)"
"152",2009,8,NA,"Putnam","Cat",5,0,41.42733,-73.74847,"POINT (-73.74847 41.42733)"
"153",2023,8,NA,"Saratoga","Bat",14,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"154",2010,12,NA,"Albany","Fox",1,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"155",2008,3,NA,"Rensselaer","Bat",2,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"156",2008,11,NA,"Niagara","Raccoon",1,1,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"157",2015,6,NA,"Herkimer","Dog",1,0,43.02599,-74.98441,"POINT (-74.98441 43.02599)"
"158",2012,8,NA,"Onondaga","Wild Other",1,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"159",2017,5,NA,"Rensselaer","Raccoon",2,2,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"160",2011,11,NA,"Nassau","Dog",3,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"161",2015,12,NA,"Ontario","Wild Other",1,0,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"162",2023,6,NA,"Onondaga","Cat",3,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"163",2020,11,NA,"Schoharie","Cat",1,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"164",2009,6,NA,"Saratoga","Dog",3,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"165",2021,8,NA,"Otsego","Bat",25,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"166",2017,8,NA,"Livingston","Cat",1,0,42.80006,-77.81584,"POINT (-77.81584 42.80006)"
"167",2012,5,NA,"Warren","Raccoon",4,0,43.42622,-73.71242,"POINT (-73.71242 43.42622)"
"168",2019,8,NA,"Cayuga","Dog",1,0,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"169",2014,8,NA,"Montgomery","Bat",3,0,42.95571,-74.37199,"POINT (-74.37199 42.95571)"
"170",2012,5,NA,"Lewis","Skunk",1,1,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"171",2022,6,NA,"Erie","Wild Other",2,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"172",2011,10,NA,"Sullivan","Cat",3,0,41.65454,-74.68491,"POINT (-74.68491 41.65454)"
"173",2009,5,NA,"Ontario","Cattle",1,0,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"174",2023,9,NA,"Chenango","Cat",1,0,42.53122,-75.52378,"POINT (-75.52378 42.53122)"
"175",2016,11,NA,"Chemung","Cat",2,0,42.08982,-76.80826,"POINT (-76.80826 42.08982)"
"176",2020,7,NA,"Dutchess","Bat",10,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"177",2011,5,NA,"Schoharie","Wild Other",1,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"178",2013,8,NA,"Schoharie","Domestic Other",1,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"179",2018,12,NA,"Chemung","Bat",3,0,42.08982,-76.80826,"POINT (-76.80826 42.08982)"
"180",2016,7,NA,"Tioga","Skunk",1,0,42.17028,-76.30633,"POINT (-76.30633 42.17028)"
"181",2011,3,NA,"Cattaraugus","Bat",2,0,42.24942,-78.79884,"POINT (-78.79884 42.24942)"
"182",2021,8,NA,"Cayuga","Raccoon",1,1,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"183",2021,3,NA,"Wyoming","Domestic Other",1,0,42.74022,-78.13259,"POINT (-78.13259 42.74022)"
"184",2024,3,NA,"Nassau","Cat",1,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"185",2009,8,NA,"Jefferson","Fox",1,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"186",2011,11,NA,"Herkimer","Bat",1,0,43.02599,-74.98441,"POINT (-74.98441 43.02599)"
"187",2014,6,NA,"Franklin","Bat",3,0,44.84888,-74.29136,"POINT (-74.29136 44.84888)"
"188",2017,5,NA,"Clinton","Skunk",2,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"189",2013,12,NA,"Yates","Dog",1,0,42.66095,-77.05365,"POINT (-77.05365 42.66095)"
"190",2011,2,NA,"Greene","Bat",1,0,42.21761,-73.86491,"POINT (-73.86491 42.21761)"
"191",2020,3,NA,"Orleans","Dog",1,0,43.24625,-78.19376,"POINT (-78.19376 43.24625)"
"192",2011,9,NA,"Orange","Rodents",1,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"193",2012,3,NA,"Lewis","Raccoon",1,1,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"194",2022,7,NA,"Wyoming","Raccoon",1,0,42.74022,-78.13259,"POINT (-78.13259 42.74022)"
"195",2014,10,NA,"Onondaga","Bat",18,4,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"196",2010,1,NA,"Lewis","Wild Other",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"197",2011,5,NA,"Oneida","Bat",4,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"198",2015,5,NA,"Dutchess","Raccoon",1,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"199",2014,12,NA,"Oneida","Dog",1,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"200",2011,6,NA,"Otsego","Bat",2,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"201",2021,10,NA,"Niagara","Raccoon",3,1,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"202",2019,2,NA,"Niagara","Cat",1,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"203",2021,2,NA,"Cortland","Fox",1,0,42.60121,-76.18048,"POINT (-76.18048 42.60121)"
"204",2014,8,NA,"Warren","Dog",1,0,43.42622,-73.71242,"POINT (-73.71242 43.42622)"
"205",2017,7,NA,"Ontario","Cat",3,0,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"206",2016,4,NA,"Putnam","Rodents",1,0,41.42733,-73.74847,"POINT (-73.74847 41.42733)"
"207",2019,7,NA,"Delaware","Bat",3,1,42.27959,-74.91376,"POINT (-74.91376 42.27959)"
"208",2021,7,NA,"Cayuga","Bat",4,1,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"209",2015,2,NA,"Steuben","Wild Other",1,0,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"210",2008,10,NA,"Madison","Cat",1,0,42.91287,-75.66973,"POINT (-75.66973 42.91287)"
"211",2012,10,NA,"Westchester","Cat",7,0,41.122,-73.7949,"POINT (-73.7949 41.122)"
"212",2008,7,NA,"Nassau","Wild Other",2,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"213",2009,3,NA,"Suffolk","Raccoon",6,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"214",2020,10,NA,"St. Lawrence","Raccoon",16,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"215",2012,3,NA,"Suffolk","Cat",1,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"216",2014,7,NA,"Schoharie","Domestic Other",1,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"217",2014,4,NA,"Albany","Raccoon",2,2,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"218",2015,12,NA,"Albany","Cat",1,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"219",2023,3,NA,"Saratoga","Wild Other",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"220",2017,3,NA,"Rensselaer","Dog",1,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"221",2015,4,NA,"Monroe","Cat",1,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"222",2015,9,NA,"Columbia","Cat",3,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"223",2022,5,NA,"Cattaraugus","Skunk",1,0,42.24942,-78.79884,"POINT (-78.79884 42.24942)"
"224",2021,4,NA,"Nassau","Bat",1,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"225",2011,4,NA,"Erie","Cat",6,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"226",2023,12,NA,"Nassau","Raccoon",2,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"227",2021,6,NA,"Wayne","Wild Other",1,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"228",2017,9,NA,"Dutchess","Wild Other",1,1,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"229",2023,9,NA,"Madison","Bat",1,0,42.91287,-75.66973,"POINT (-75.66973 42.91287)"
"230",2013,1,NA,"Nassau","Raccoon",2,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"231",2017,9,NA,"Herkimer","Raccoon",2,2,43.02599,-74.98441,"POINT (-74.98441 43.02599)"
"232",2010,6,NA,"Washington","Dog",3,0,43.26707,-73.58484,"POINT (-73.58484 43.26707)"
"233",2020,8,NA,"Monroe","Cat",4,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"234",2012,7,NA,"Oswego","Raccoon",2,1,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"235",2009,8,NA,"Albany","Bat",47,2,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"236",2017,9,NA,"Orange","Dog",3,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"237",2020,1,NA,"Erie","Wild Other",1,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"238",2014,3,NA,"Tompkins","Dog",3,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"239",2011,7,NA,"Columbia","Cat",1,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"240",2015,7,NA,"Schuyler","Dog",1,0,42.39501,-76.87556,"POINT (-76.87556 42.39501)"
"241",2018,5,NA,"Suffolk","Cat",2,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"242",2013,9,NA,"Westchester","Raccoon",2,1,41.122,-73.7949,"POINT (-73.7949 41.122)"
"243",2014,1,NA,"Allegany","Raccoon",1,1,42.34332,-78.11192,"POINT (-78.11192 42.34332)"
"244",2024,5,NA,"Steuben","Cat",1,0,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"245",2009,6,NA,"Niagara","Bat",9,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"246",2011,10,NA,"Wayne","Cat",1,1,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"247",2021,10,NA,"Franklin","Raccoon",1,0,44.84888,-74.29136,"POINT (-74.29136 44.84888)"
"248",2019,8,NA,"Lewis","Bat",15,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"249",2019,4,NA,"Sullivan","Fox",1,0,41.65454,-74.68491,"POINT (-74.68491 41.65454)"
"250",2009,6,NA,"Essex","Fox",1,0,44.21634,-73.59043,"POINT (-73.59043 44.21634)"
"251",2023,2,NA,"Schenectady","Cat",1,0,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"252",2023,10,NA,"Ulster","Bat",1,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
